epos,train_acc,test_acc,loss
0,0.19939999999999963,0.19999999999999998,7409602557.44
1,0.19799999999999962,0.202,1155262974.72
2,0.28899999999999987,0.376,536639946.44
3,0.44160000000000016,0.396,194846197.4
4,0.4355999999999999,0.5900000000000001,164065266.08
5,0.4803999999999998,0.532,85172487.4
6,0.49060000000000004,0.48,67818050.14
7,0.5229999999999996,0.5519999999999999,43495962.67
8,0.5349999999999998,0.5279999999999999,37628931.59
9,0.5486,0.41200000000000003,27214833.495
10,0.5216000000000001,0.5359999999999999,23929152.04
11,0.5278000000000003,0.57,19813684.8425
12,0.5486000000000001,0.596,14399095.175
13,0.5703999999999999,0.504,11480920.6962
14,0.5843999999999998,0.55,8541429.905
15,0.5634,0.5660000000000001,7982138.1
16,0.5446000000000002,0.51,7529923.98625
17,0.6007999999999999,0.4840000000000001,5405681.79875
18,0.5681999999999999,0.554,5063657.23187
19,0.5762,0.536,4150981.815
20,0.5714000000000001,0.56,4661616.17875
21,0.6134000000000001,0.542,3842027.615
22,0.5751999999999999,0.564,3111922.54625
23,0.5935999999999997,0.582,3284461.79438
24,0.5973999999999999,0.5559999999999999,2484987.36219
25,0.6061999999999999,0.5860000000000001,1892969.04125
26,0.5812000000000002,0.522,2384500.56
27,0.6106000000000003,0.514,2104997.68063
28,0.6066000000000001,0.602,1925782.42312
29,0.6377999999999998,0.546,1537511.55594
30,0.6432000000000001,0.6060000000000001,1502499.26844
31,0.6424,0.5680000000000001,1253703.92063
32,0.6092000000000002,0.556,1279840.74844
33,0.6284000000000001,0.638,1210384.45031
34,0.5942000000000001,0.612,1168988.36187
35,0.6474,0.6020000000000001,912688.185
36,0.6311999999999998,0.47400000000000003,865146.538438
37,0.6308000000000001,0.636,923257.58125
38,0.6393999999999996,0.692,756862.45625
39,0.6479999999999998,0.6899999999999998,774667.231563
40,0.6410000000000001,0.586,679525.234336
41,0.6401999999999998,0.6119999999999999,640401.220781
42,0.6529999999999998,0.606,531820.736719
43,0.6627999999999998,0.688,489288.769844
44,0.6523999999999998,0.572,475062.196094
45,0.6454000000000001,0.6559999999999999,494740.01875
46,0.6474,0.5940000000000001,328521.831719
47,0.6663999999999999,0.588,230400.588281
48,0.6631999999999998,0.6639999999999999,162332.883047
49,0.6699999999999998,0.606,141730.980234
50,0.6566000000000001,0.606,114991.740723
51,0.6566000000000001,0.622,86764.4445898
52,0.659,0.6199999999999999,66953.3828906
53,0.6567999999999999,0.6599999999999999,51349.637373
54,0.6631999999999998,0.64,44132.0196484
55,0.6552000000000002,0.6920000000000001,49803.3443555
56,0.6380000000000003,0.674,36076.7939941
57,0.6646000000000001,0.6060000000000001,28287.9029297
58,0.6758,0.668,26502.2214893
59,0.6683999999999999,0.528,22148.9836914
60,0.6629999999999998,0.6359999999999999,18756.3330444
61,0.6666,0.6040000000000001,18587.0810071
62,0.6563999999999998,0.66,17790.6813191
63,0.6864000000000001,0.6220000000000001,14362.9772815
64,0.6636,0.64,12159.454541
65,0.6848000000000001,0.74,10772.1572635
66,0.6715999999999996,0.5820000000000001,10793.701687
67,0.6794000000000001,0.64,8999.68863007
68,0.6467999999999999,0.604,9139.23920959
69,0.6857999999999995,0.67,7303.7203418
70,0.6639999999999998,0.6539999999999999,8655.7762796
71,0.6773999999999998,0.586,6634.72365051
72,0.659,0.662,7096.69697403
